INFO:root:Episode: 800, length: 106, reward: -183.92, ewma reward: -115.73, val loss: 32.95, act loss: -74.17
INFO:root:Episode: 820, length: 1000, reward: -63.80, ewma reward: -96.07, val loss: 61.25, act loss: -77.98
INFO:root:Episode: 840, length: 66, reward: -95.56, ewma reward: -64.70, val loss: 41.60, act loss: -82.76
INFO:root:Episode: 860, length: 71, reward: -131.96, ewma reward: -78.90, val loss: 32.16, act loss: -84.93
INFO:root:Episode: 880, length: 116, reward: 46.96, ewma reward: -80.44, val loss: 31.62, act loss: -84.53
INFO:root:Episode: 900, length: 70, reward: -64.96, ewma reward: -63.88, val loss: 35.60, act loss: -83.17
INFO:root:Episode: 920, length: 1000, reward: -87.15, ewma reward: -54.26, val loss: 34.10, act loss: -77.61
INFO:root:Episode: 940, length: 1000, reward: -48.37, ewma reward: -62.12, val loss: 36.78, act loss: -81.31
INFO:root:Episode: 960, length: 75, reward: -219.25, ewma reward: -60.73, val loss: 18.59, act loss: -60.54
INFO:root:Episode: 980, length: 96, reward: -43.94, ewma reward: -102.30, val loss: 29.95, act loss: -28.73
INFO:root:Running reward is now -190.48837523724242 and the total episode is 999.
INFO:root:lr_a = 0.0033607158446455196, lr_c = 0.008908165306793227 , lr_a_decay=0.8396243626065941 , lr_c_decay=0.8061233307745387, noise_scale = 0.43880746994866465 , batch_size = 204
INFO:root:Episode: 0, length: 148, reward: -377.50, ewma reward: -18.87, val loss: nan, act loss: nan
INFO:root:Episode: 20, length: 202, reward: -154.73, ewma reward: -241.46, val loss: 26.03, act loss: 8.55
INFO:root:Episode: 40, length: 180, reward: -113.95, ewma reward: -223.35, val loss: 34.79, act loss: 3.87
INFO:root:Episode: 60, length: 121, reward: -175.43, ewma reward: -213.29, val loss: 37.98, act loss: -20.95
INFO:root:Episode: 80, length: 151, reward: -210.27, ewma reward: -197.58, val loss: 138.45, act loss: -41.59
INFO:root:Episode: 100, length: 274, reward: -190.77, ewma reward: -177.13, val loss: 298.19, act loss: -70.09
INFO:root:Episode: 120, length: 177, reward: -311.48, ewma reward: -155.31, val loss: 563.97, act loss: -106.13
INFO:root:Episode: 140, length: 146, reward: -207.67, ewma reward: -153.19, val loss: 1364.19, act loss: -144.17
INFO:root:Episode: 160, length: 85, reward: -141.93, ewma reward: -182.30, val loss: 2269.55, act loss: -213.02
INFO:root:Episode: 180, length: 81, reward: -275.85, ewma reward: -189.63, val loss: 2695.56, act loss: -249.39
INFO:root:Episode: 200, length: 72, reward: -242.81, ewma reward: -210.91, val loss: 3431.58, act loss: -292.19
INFO:root:Episode: 220, length: 62, reward: -95.43, ewma reward: -245.93, val loss: 3785.52, act loss: -334.88
INFO:root:Episode: 240, length: 83, reward: -419.24, ewma reward: -292.58, val loss: 3223.67, act loss: -387.68
INFO:root:Episode: 260, length: 128, reward: -397.99, ewma reward: -255.64, val loss: 4817.79, act loss: -465.00
INFO:root:Episode: 280, length: 102, reward: -140.35, ewma reward: -231.70, val loss: 4027.23, act loss: -556.16
INFO:root:Episode: 300, length: 69, reward: -411.26, ewma reward: -317.67, val loss: 4531.90, act loss: -656.06
INFO:root:Episode: 320, length: 84, reward: -145.18, ewma reward: -310.97, val loss: 6801.02, act loss: -759.29
INFO:root:Episode: 340, length: 77, reward: -443.81, ewma reward: -325.60, val loss: 8585.83, act loss: -862.69
INFO:root:Episode: 360, length: 57, reward: -194.85, ewma reward: -272.70, val loss: 9232.27, act loss: -1008.93
INFO:root:Episode: 380, length: 102, reward: -270.69, ewma reward: -267.32, val loss: 15010.97, act loss: -1177.79
INFO:root:Episode: 400, length: 154, reward: -245.04, ewma reward: -257.23, val loss: 20781.77, act loss: -1390.82
INFO:root:Episode: 420, length: 86, reward: -97.95, ewma reward: -213.44, val loss: 23221.56, act loss: -1598.18
INFO:root:Episode: 440, length: 100, reward: -136.36, ewma reward: -333.34, val loss: 26356.75, act loss: -1742.67
INFO:root:Episode: 460, length: 120, reward: -168.29, ewma reward: -282.41, val loss: 32349.56, act loss: -1961.97
INFO:root:Episode: 480, length: 92, reward: -292.49, ewma reward: -291.75, val loss: 35375.30, act loss: -2257.55
INFO:root:Episode: 500, length: 68, reward: -428.68, ewma reward: -301.44, val loss: 68848.34, act loss: -2562.27
INFO:root:Episode: 520, length: 94, reward: -145.55, ewma reward: -274.86, val loss: 124659.20, act loss: -3049.86
INFO:root:Episode: 540, length: 158, reward: -179.15, ewma reward: -297.02, val loss: 152190.68, act loss: -3433.40
INFO:root:Episode: 560, length: 255, reward: -343.17, ewma reward: -253.25, val loss: 204799.48, act loss: -3844.08
INFO:root:Episode: 580, length: 142, reward: 12.10, ewma reward: -188.20, val loss: 331921.04, act loss: -4459.13
